"data_as_of","start_date","end_date","sex","age_years","total_deaths","covid19_deaths"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","<1 Year","16320","71"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","01 Year","1176","12"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","02 Years","738","6"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","03 Years","544","8"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","04 Years","478","9"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","05 Years","400","4"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","06 Years","382","7"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","07 Years","373","6"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","08 Years","349","8"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","09 Years","321","9"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","10 Years","352","6"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","11 Years","395","7"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","12 Years","495","10"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","13 Years","607","16"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","14 Years","691","19"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","15 Years","831","29"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","16 Years","1023","26"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","17 Years","1224","37"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","18 Years","1673","45"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","19 Years","1789","74"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","20 Years","1995","83"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","21 Years","2255","83"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","22 Years","2320","135"
